Year,State,Program,Level,College/University Name,Type,Affiliated University,State,City,Courses Offered,Intake Capacity,Accreditation,Approval Year
2017-2018,Haryana,Applied Arts and Crafts,UG,1-3327762854,GALAXY GLOBAL EDUCATIONAL TRUST'S GROUP OF INSTITUTIONS,"SHAHABAD-SAHA ROAD, NH-73, VILL. DINARPUR, DISTT. AMBALA",AMBALA,Unaided - Private,N,N,Click Here,NA
2017-2018,Haryana,Applied Arts and Crafts,PG,No data available in table
2017-2018,Himachal Pradesh,Applied Arts and Crafts,UG,No data available in table
2017-2018,Himachal Pradesh,Applied Arts and Crafts,PG,No data available in table
2017-2018,Jammu and Kashmir,Applied Arts and Crafts,UG,No data available in table
2017-2018,Jammu and Kashmir,Applied Arts and Crafts,PG,No data available in table
2017-2018,Jharkhand,Applied Arts and Crafts,UG,No data available in table
2017-2018,Jharkhand,Applied Arts and Crafts,PG,No data available in table
2017-2018,Karnataka,Applied Arts and Crafts,UG,No data available in table
2017-2018,Karnataka,Applied Arts and Crafts,PG,No data available in table
2017-2018,Kerala,Applied Arts and Crafts,UG,No data available in table
2017-2018,Kerala,Applied Arts and Crafts,PG,No data available in table
2017-2018,Madhya Pradesh,Applied Arts and Crafts,UG,No data available in table
2017-2018,Madhya Pradesh,Applied Arts and Crafts,PG,No data available in table
2017-2018,Maharashtra,Applied Arts and Crafts,UG,1-3322335726,"B. S. BANDEKAR COLLEGE OF FINE ART,( APPLIED ART).","SURVE NO.54/01, NEAR FOREST BHAVAN,SALAIWADA,AT/PO.SAWANTWADI,DIST:-SINDHUDURGA.416510",SINDHUDURG,Unaided - Private,N,N,Click Here,NA
2017-2018,Maharashtra,Applied Arts and Crafts,UG,1-3322343380,VIVA INSTITUTE OF APPLIED ART,"AT:-SHIRGAON, POST:- VIRAR (E)",THANE,Unaided - Private,N,N,Click Here,NA
2017-2018,Maharashtra,Applied Arts and Crafts,UG,1-3322344434,PAD.DR.D.Y.PATIL COLLEGE OF APPLIED ARTS & CRAFTS,"SECTOR NO. 29, NIGDI-PRADHIKRAN, AKURDI, PUNE -44",PUNE,Unaided - Private,N,N,Click Here,NA
2017-2018,Maharashtra,Applied Arts and Crafts,UG,1-3323466945,SIR J. J. INSTITUTE OF APPLIED ART,"DR. D. N. ROAD, FORT",MUMBAI CITY,Government,N,N,Click Here,NA
2017-2018,Maharashtra,Applied Arts and Crafts,UG,1-3323592959,BHARATI KALA MAHAVIDYALAYA,"BHARATI VIDYAPEETH EDUCATIONAL CAMPUS, PUNE-SATARA ROAD, PUNE 411043",PUNE,Unaided - Private,N,N,Click Here,NA
2017-2018,Maharashtra,Applied Arts and Crafts,UG,1-3344260744,RACHANA SANSAD COLLEGE OF APPLIED ART & CRAFT,"5TH FLOOR, 278, SHANKAR GHANEKAR MARG, PRABHADEVI, MUMBAI-400025 STATE-MAHARASHTRA (INDIA)",MUMBAI CITY,Unaided - Private,N,N,Click Here,NA
2017-2018,Maharashtra,Applied Arts and Crafts,PG,No data available in table
2017-2018,Manipur,Applied Arts and Crafts,UG,No data available in table
2017-2018,Manipur,Applied Arts and Crafts,PG,No data available in table
2017-2018,Meghalaya,Applied Arts and Crafts,UG,No data available in table
2017-2018,Meghalaya,Applied Arts and Crafts,PG,No data available in table
2017-2018,Mizoram,Applied Arts and Crafts,UG,No data available in table
2017-2018,Mizoram,Applied Arts and Crafts,PG,No data available in table
2017-2018,Nagaland,Applied Arts and Crafts,UG,No data available in table
2017-2018,Nagaland,Applied Arts and Crafts,PG,No data available in table
2017-2018,Odisha,Applied Arts and Crafts,UG,No data available in table
2017-2018,Odisha,Applied Arts and Crafts,PG,No data available in table
2017-2018,Orissa,Applied Arts and Crafts,UG,No data available in table
2017-2018,Orissa,Applied Arts and Crafts,PG,No data available in table
2017-2018,Puducherry,Applied Arts and Crafts,UG,1-3325427436,BHARATHIAR PALKALAI KOODAM,"CUDDALORE MAIN ROAD, ARIYANKUPPAM",PUDUCHERRY,Government,N,N,Click Here,NA
2017-2018,Puducherry,Applied Arts and Crafts,PG,No data available in table
2017-2018,Punjab,Applied Arts and Crafts,UG,No data available in table
